id,title,type,status,year,season,genre,rating,totalEpisodes,source,siteUrl
animeav1-one-piece,One Piece,TV,,,,action,,,AnimeAV1,https://animeav1.com/media/one-piece
animeav1-sousou-no-frieren-2nd-season,Sousou no Frieren 2nd Season,TV,,,,anime,,,AnimeAV1,https://animeav1.com/media/sousou-no-frieren-2nd-season
animeav1-kidou-senshi-gundam-senkou-no-hathaway-circe-no-majo,Kidou Senshi Gundam: Senkou no Hathaway - Circe no Majo,Movie,,,,anime,,,AnimeAV1,https://animeav1.com/media/kidou-senshi-gundam-senkou-no-hathaway-circe-no-majo
animeav1-gintama-movie-3-yoshiwara-daienjou,Gintama Movie 3: Yoshiwara Daienjou,MOVIE,,,,anime,,,AnimeAV1,https://animeav1.com/media/gintama-movie-3-yoshiwara-daienjou
animeav1-shiguang-dailiren-iii,Shiguang Dailiren III,ONA,,,,anime,,,AnimeAV1,https://animeav1.com/media/shiguang-dailiren-iii
animeav1-the-ribbon-hero,The Ribbon Hero,ONA,,,,anime,,,AnimeAV1,https://animeav1.com/media/the-ribbon-hero
animeav1-boku-no-hero-academia-i-am-a-hero-too,Boku no Hero Academia: I Am a Hero Too,ONA,,,,anime,,,AnimeAV1,https://animeav1.com/media/boku-no-hero-academia-i-am-a-hero-too
animeav1-tensei-shitara-slime-datta-ken-movie-2-soukai-no-namida-hen,Tensei shitara Slime Datta Ken Movie 2: Soukai no Namida-hen,MOVIE,,,,anime,,,AnimeAV1,https://animeav1.com/media/tensei-shitara-slime-datta-ken-movie-2-soukai-no-namida-hen
animeav1-kimetsu-no-yaiba-movie-1-mugenjou-hen-akaza-sairai,Kimetsu no Yaiba Movie 1: Mugenjou-hen - Akaza Sairai,MOVIE,,,,anime,,,AnimeAV1,https://animeav1.com/media/kimetsu-no-yaiba-movie-1-mugenjou-hen-akaza-sairai
animeav1-bleach-sennen-kessen-hen-kashin-tan,Bleach: Sennen Kessen-hen - Kashin-tan,TV,,,,anime,,,AnimeAV1,https://animeav1.com/media/bleach-sennen-kessen-hen-kashin-tan
animeav1-ansatsu-kyoushitsu-movie-minna-no-jikan,Ansatsu Kyoushitsu Movie: Minna no Jikan,MOVIE,,,,anime,,,AnimeAV1,https://animeav1.com/media/ansatsu-kyoushitsu-movie-minna-no-jikan
animeav1-nige-jouzu-no-wakagimi-2nd-season,Nige Jouzu no Wakagimi 2nd Season,TV,,,,anime,,,AnimeAV1,https://animeav1.com/media/nige-jouzu-no-wakagimi-2nd-season
animeav1-futsutsuka-na-akujo-dewa-gozaimasu-ga-suuguu-chouso-torikae-den,Futsutsuka na Akujo dewa Gozaimasu ga: Suuguu Chouso Torikae Den,TV,,,,anime,,,AnimeAV1,https://animeav1.com/media/futsutsuka-na-akujo-dewa-gozaimasu-ga-suuguu-chouso-torikae-den
animeav1-hanaori-san-wa-tensei-shitemo-kenka-ga-shitai,Hanaori-san wa Tensei shitemo Kenka ga Shitai,TV,,,,anime,,,AnimeAV1,https://animeav1.com/media/hanaori-san-wa-tensei-shitemo-kenka-ga-shitai
animeav1-super-no-ura-de-yani-suu-futari,Super no Ura de Yani Suu Futari,TV,,,,anime,,,AnimeAV1,https://animeav1.com/media/super-no-ura-de-yani-suu-futari
animeav1-mebius-dust,Mebius Dust,TV,,,,anime,,,AnimeAV1,https://animeav1.com/media/mebius-dust
animeav1-thunder-3,Thunder 3,TV,,,,anime,,,AnimeAV1,https://animeav1.com/media/thunder-3
animeav1-dogulwang,Dogulwang,TV,,,,anime,,,AnimeAV1,https://animeav1.com/media/dogulwang
animeav1-katainaka-no-ossan-kensei-ni-naru-ii,"Katainaka no Ossan, Kensei ni Naru II",TV,,,,anime,,,AnimeAV1,https://animeav1.com/media/katainaka-no-ossan-kensei-ni-naru-ii
animeav1-otome-game-sekai-wa-mob-ni-kibishii-sekai-desu-2,Otome Game Sekai wa Mob ni Kibishii Sekai desu 2,TV,,,,anime,,,AnimeAV1,https://animeav1.com/media/otome-game-sekai-wa-mob-ni-kibishii-sekai-desu-2
animeav1-ibitte-konai-gibo-to-gishi,Ibitte Konai Gibo to Gishi,TV,,,,anime,,,AnimeAV1,https://animeav1.com/media/ibitte-konai-gibo-to-gishi
animeav1-youjo-senki-ii,Youjo Senki II,TV,,,,anime,,,AnimeAV1,https://animeav1.com/media/youjo-senki-ii
animeav1-ryoumin-0-nin-start-no-henkyou-ryoushu-sama,Ryoumin 0-nin Start no Henkyou Ryoushu-sama,TV,,,,anime,,,AnimeAV1,https://animeav1.com/media/ryoumin-0-nin-start-no-henkyou-ryoushu-sama
animeav1-clevatess-ii-majuu-no-ou-to-itsuwari-no-yuusha-denshou,Clevatess II: Majuu no Ou to Itsuwari no Yuusha Denshou,TV,,,,anime,,,AnimeAV1,https://animeav1.com/media/clevatess-ii-majuu-no-ou-to-itsuwari-no-yuusha-denshou
animeav1-sora-wa-akai-kawa-no-hotori,Sora wa Akai Kawa no Hotori,TV,,,,anime,,,AnimeAV1,https://animeav1.com/media/sora-wa-akai-kawa-no-hotori
animeav1-tefuda-ga-oome-no-victoria,Tefuda ga Oome no Victoria,TV,,,,anime,,,AnimeAV1,https://animeav1.com/media/tefuda-ga-oome-no-victoria
